City,Date,PM2.5,PM10,NO2,SO2,CO,O3,NO,NOx,NH3,AQI
Ahmedabad,2015-12-12,95.9,0.0,33.63,30.06,10.38,27.34,10.38,44.01,0.0,316.0
Ahmedabad,2016-01-01,95.9,0.0,33.63,30.06,10.38,27.34,10.38,44.01,0.0,316.0
Ahmedabad,2016-01-02,95.9,0.0,33.63,30.06,10.38,27.34,10.38,44.01,0.0,316.0
Ahmedabad,2016-01-03,95.9,0.0,33.63,30.06,10.38,27.34,10.38,44.01,0.0,316.0
Ahmedabad,2016-01-04,95.9,0.0,33.63,30.06,10.38,27.34,10.38,44.01,0.0,316.0
Ahmedabad,2016-01-05,95.9,0.0,33.63,30.06,10.38,27.34,10.38,44.01,0.0,316.0
Ahmedabad,2016-01-06,95.9,0.0,33.63,30.06,10.38,27.34,10.38,44.01,0.0,316.0
Ahmedabad,2016-01-07,29.42,0.0,10.11,1.57,9.39,16.42,9.39,19.5,0.0,257.0
Ahmedabad,2016-01-08,33.5,0.0,30.42,14.95,59.355999999999995,4.81,59.355999999999995,109.95,0.0,740.0
Ahmedabad,2016-01-09,30.81,0.0,7.86,17.58,9.36,15.72,9.36,17.22,0.0,217.0
Ahmedabad,2016-01-10,27.22,0.0,6.34,17.38,12.02,12.94,12.02,18.36,0.0,231.0
Ahmedabad,2016-01-11,135.85099999999997,0.0,13.35,19.34,12.95,50.18,12.95,26.31,0.0,420.0
Ahmedabad,2016-01-12,135.85099999999997,0.0,13.35,19.34,12.95,50.18,12.95,26.31,0.0,420.0
Ahmedabad,2016-02-01,135.85099999999997,0.0,13.35,19.34,12.95,50.18,12.95,26.31,0.0,420.0
Ahmedabad,2016-02-02,135.85099999999997,0.0,13.35,19.34,12.95,50.18,12.95,26.31,0.0,420.0
Ahmedabad,2016-02-03,135.85099999999997,0.0,13.35,19.34,12.95,50.18,12.95,26.31,0.0,420.0
Ahmedabad,2016-02-04,135.85099999999997,0.0,13.35,19.34,12.95,50.18,12.95,26.31,0.0,420.0
Ahmedabad,2016-02-05,135.85099999999997,0.0,13.35,19.34,12.95,50.18,12.95,26.31,0.0,420.0
Ahmedabad,2016-02-06,135.85099999999997,0.0,13.35,19.34,12.95,50.18,12.95,26.31,0.0,420.0
Ahmedabad,2016-02-07,20.87,0.0,7.49,1.6,9.04,14.27,9.04,16.54,0.0,213.0
Ahmedabad,2016-02-08,29.36,0.0,29.75,15.31,59.355999999999995,3.68,59.355999999999995,113.47,0.0,751.0
Ahmedabad,2016-02-09,47.67,0.0,8.39,16.95,9.63,18.89,9.63,18.02,0.0,222.0
Ahmedabad,2016-02-10,41.81,0.0,9.77,18.03,10.75,22.44,10.75,20.52,0.0,298.0
Ahmedabad,2016-02-11,135.85099999999997,0.0,14.79,16.14,11.74,47.43,11.74,26.54,0.0,417.0
Ahmedabad,2016-02-12,135.85099999999997,0.0,14.79,16.14,11.74,47.43,11.74,26.54,0.0,417.0
Ahmedabad,2016-03-01,135.85099999999997,0.0,14.79,16.14,11.74,47.43,11.74,26.54,0.0,417.0
Ahmedabad,2016-03-02,135.85099999999997,0.0,14.79,16.14,11.74,47.43,11.74,26.54,0.0,417.0
Ahmedabad,2016-03-03,135.85099999999997,0.0,14.79,16.14,11.74,47.43,11.74,26.54,0.0,417.0
Ahmedabad,2016-03-04,135.85099999999997,0.0,14.79,16.14,11.74,47.43,11.74,26.54,0.0,417.0
Ahmedabad,2016-03-05,135.85099999999997,0.0,14.79,16.14,11.74,47.43,11.74,26.54,0.0,417.0
Ahmedabad,2016-03-06,135.85099999999997,0.0,14.79,16.14,11.74,47.43,11.74,26.54,0.0,417.0
Ahmedabad,2016-03-07,35.08,0.0,6.52,1.63,8.36,19.44,8.36,14.88,0.0,218.0
Ahmedabad,2016-03-08,44.59,0.0,29.34,14.18,59.355999999999995,4.91,59.355999999999995,113.47,0.0,798.0
Ahmedabad,2016-03-09,35.69,0.0,8.14,16.72,9.38,14.63,9.38,18.2,0.0,241.0
Ahmedabad,2016-03-10,75.03,0.0,9.47,17.61,11.23,41.28,11.23,20.7,0.0,267.0
Ahmedabad,2016-03-11,135.85099999999997,0.0,12.7,16.78,10.97,56.43,10.97,23.67,0.0,390.0
Ahmedabad,2016-03-12,135.85099999999997,0.0,12.7,16.78,10.97,56.43,10.97,23.67,0.0,390.0
Ahmedabad,2016-04-01,135.85099999999997,0.0,12.7,16.78,10.97,56.43,10.97,23.67,0.0,390.0
Ahmedabad,2016-04-02,135.85099999999997,0.0,12.7,16.78,10.97,56.43,10.97,23.67,0.0,390.0
Ahmedabad,2016-04-03,135.85099999999997,0.0,12.7,16.78,10.97,56.43,10.97,23.67,0.0,390.0
Ahmedabad,2016-04-04,135.85099999999997,0.0,12.7,16.78,10.97,56.43,10.97,23.67,0.0,390.0
Ahmedabad,2016-04-05,135.85099999999997,0.0,12.7,16.78,10.97,56.43,10.97,23.67,0.0,390.0
Ahmedabad,2016-04-06,135.85099999999997,0.0,12.7,16.78,10.97,56.43,10.97,23.67,0.0,390.0
Ahmedabad,2016-04-07,40.23,0.0,2.79,1.69,8.68,15.16,8.68,11.47,0.0,214.0
Ahmedabad,2016-04-08,50.65,0.0,13.0,13.06,10.63,6.21,10.63,19.88,0.0,494.0
